Date,PAM_shr_px,PAM_shrs,PAM_mkt_cap,SUPV_shr_px,SUPV_shrs,SUPV_mkt_cap,TEO_shr_px,TEO_shrs,TEO_mkt_cap,EDN_shr_px,EDN_shrs,EDN_mkt_cap,BBAR_shr_px,BBAR_shrs,BBAR_mkt_cap,LOMA_shr_px,LOMA_shrs,LOMA_mkt_cap,YPF_shr_px,YPF_shrs,YPF_mkt_cap,BMA_shr_px,BMA_shrs,BMA_mkt_cap,TS_shr_px,TS_shrs,TS_mkt_cap,CEPU_shr_px,CEPU_shrs,CEPU_mkt_cap,TGS_shr_px,TGS_shrs,TGS_mkt_cap,AGRO_shr_px,AGRO_shrs,AGRO_mkt_cap,CAAP_shr_px,CAAP_shrs,CAAP_mkt_cap,GGAL_shr_px,GGAL_shrs,GGAL_mkt_cap,CRESY_shr_px,CRESY_shrs,CRESY_mkt_cap,BIOX_shr_px,BIOX_shrs,BIOX_mkt_cap,VIST_shr_px,VIST_shrs,VIST_mkt_cap
06/02/2006,,,,,,,6.413919448852539,323.048,2072.003850112915,,82.37,,3.92357349395752,,,,,,30.110445022583008,392.947,11831.809040288925,,60.9,,20.01694869995117,581.628,11642.4178384552,,70.32,,2.4215803146362305,158.302,383.34100696754456,,,,,,,5.886523723602295,153.342,902.6513208246232,7.565863132476807,37.369,282.72873939752577,,,,,,
30/01/2006,,,,,,,6.231099605560303,323.048,2012.9442653770448,,82.37,,3.7929630279541016,,,,,,29.5817928314209,392.947,11624.076747728348,,60.9,,19.456541061401367,581.628,11316.469064460754,,70.32,,2.3944222927093506,158.302,379.0418377804756,,,,,,,5.821299076080322,153.342,892.6496429243089,7.590976238250732,37.369,283.66719104719164,,,,,,
23/01/2006,,,,,,,6.606896877288818,323.048,2134.344822414398,,82.37,,3.8138599395751953,,,,,,30.369150161743164,392.947,11933.46644860649,,60.9,,20.83511734008789,581.628,12118.287628280641,,70.32,,2.4261064529418945,158.302,384.0575037136078,,,,,,,5.731614589691162,153.342,878.8972444124223,7.415173053741455,37.369,277.0976018452644,,,,,,
16/01/2006,,,,,,,6.1549248695373535,323.048,1988.336169254303,,82.37,,4.033287525177002,,,,,,31.212736129760746,392.947,12264.951023981095,,60.9,,19.070539474487305,581.628,11091.959733467103,,70.32,,2.480422258377075,158.302,392.65580434560775,,,,,,,5.715309143066406,153.342,876.396934616089,6.649168968200684,37.369,248.47279517269135,,,,,,
09/01/2006,,,,,,,6.611974239349365,323.048,2135.9850540733337,,82.37,,3.9444713592529297,,,,,,30.369150161743164,392.947,11933.46644860649,,60.9,,16.712207794189453,581.628,9720.287994918825,,70.32,,2.4532649517059326,158.302,388.35674838495254,,,,,,,5.747920989990234,153.342,881.3977004470826,7.088681221008301,37.369,264.8969285478592,,,,,,
02/01/2006,,,,,,,6.672913074493408,323.048,2155.6712228889464,,82.37,,3.970595359802246,,,,,,31.49955177307129,392.947,12377.654370573044,,60.9,,15.933788299560549,581.628,9267.537421096804,,70.32,,2.711264610290528,158.302,429.1986103382111,,,,,,,5.747920989990234,153.342,881.3977004470826,7.019613265991211,37.369,262.31592813682556,,,,,,
26/12/2005,,,,,,,6.545956611633301,323.048,2114.6581914749145,,82.37,,3.735493659973145,,,,,,29.238739013671875,392.947,11489.274779205321,,60.9,,14.683454513549805,581.61,8540.043979625701,,70.32,,2.385369777679444,158.302,377.60880654621127,,,,,,,5.633777618408203,153.342,863.8947275619507,6.862645626068115,37.369,256.4502044005394,,,,,,
19/12/2005,,,,,,,6.571347236633301,323.048,2122.8605820999146,,82.37,,3.646677255630493,,,,,,29.49744033813477,392.947,11590.930688549042,,60.9,,15.022008895874023,581.61,8736.95059392929,,70.32,,2.371790647506714,158.302,375.4592030816078,,,,,,,5.650083065032959,153.342,866.3950373582841,6.31235408782959,37.369,235.88635990810394,,,,,,
12/12/2005,,,,,,,6.3428239822387695,323.048,2049.03660181427,,82.37,,3.725044488906861,,,,,,31.921348571777344,392.947,12543.398157234193,,60.9,,15.41441822052002,581.61,8965.17978123665,,70.32,,2.4125280380249023,158.302,381.90801347541804,,,,,,,5.690849781036377,153.342,872.6462871236802,6.669887542724609,37.369,249.24702758407594,,,,,,
05/12/2005,,,,,,,6.292039394378662,323.048,2032.630742275238,,82.37,,3.8608808517456055,,,,,,34.05281448364258,392.947,13380.951292903901,,60.9,,15.919689178466797,581.61,9259.050423088074,,70.32,,2.602632999420166,158.302,412.0020090742111,,,,,,,5.959902286529541,153.342,913.9033364210129,6.571258544921875,37.369,245.56136056518554,,,,,,
28/11/2005,,,,,,,6.723695755004883,323.048,2172.0764662628176,,82.37,,3.918349742889404,,,,,,33.4622917175293,392.947,13148.907143527984,,60.9,,15.773497581481934,581.61,9174.023928365708,,70.32,,2.675053596496582,158.302,423.4663344326019,,,,,,,5.804993152618408,153.342,890.149260008812,6.719202518463135,37.369,251.08987891244888,,,,,,
21/11/2005,,,,,,,7.338173866271973,323.048,2370.582391151428,,82.37,,4.23181676864624,,,,,,34.86827850341797,392.947,13701.38543308258,,60.9,,14.7193603515625,581.61,8560.927174072265,,70.32,,2.8289496898651123,158.302,447.82839380502696,,,,,,,6.481698513031006,153.342,993.9166133852005,6.663724422454834,37.369,249.01671794271468,,,,,,
14/11/2005,,,,,,,7.251842498779297,323.048,2342.6932155456543,,82.37,,4.205695629119873,,,,,,35.00140380859375,392.947,13753.696622375488,,60.9,,14.042259216308594,581.61,8167.118382797242,,70.32,,2.824422597885132,158.302,447.1117460904121,,,,,,,6.522464752197266,153.342,1000.1677900314332,6.848655223846436,37.369,255.92739705991747,,,,,,
07/11/2005,,,,,,,7.150275230407715,323.048,2309.8821126327516,,82.37,,3.9810433387756343,,,,,,34.77615737915039,392.947,13665.186713665009,,60.9,,13.567874908447266,581.61,7891.211725502014,,70.32,,2.85158109664917,158.302,451.41099076175686,,,,,,,6.481698513031006,153.342,993.9166133852005,6.904135704040527,37.369,258.0006471242905,,,,,,
31/10/2005,,,,,,,7.008082866668701,323.048,2263.9471539115907,,82.37,,4.075084209442139,,,,,,34.473995208740234,392.947,13546.45299528885,,60.9,,14.826784133911133,581.61,8623.405920124054,,70.32,,3.091475009918213,158.302,489.3866770200729,,,,,,,6.701832294464111,153.342,1027.6723676977158,6.953452110290527,37.369,259.8435519094467,,,,,,
24/10/2005,,,,,,,6.703383922576904,323.048,2165.514769420624,,82.37,,3.8713300228118896,,,,,,33.29281234741211,392.947,13082.310733478545,,60.9,,13.704792976379396,581.61,7970.84464299202,,70.32,,2.8334755897521973,158.302,448.5448528089523,,,,,,,6.155575752258301,153.342,943.9082970027924,6.589751720428467,37.369,246.25243204069136,,,,,,
17/10/2005,,,,,,,6.434231758117676,323.048,2078.565700996399,,82.37,,3.798186779022217,,,,,,32.402801513671875,392.947,12732.583646392823,,60.9,,13.806217193603516,581.61,8029.833981971741,,70.32,,2.792738437652588,158.302,442.09608015727997,,,,,,,6.212646961212158,153.342,952.6597103261948,6.904135704040527,37.369,258.0006471242905,,,,,,
10/10/2005,,,,,,,6.261569976806641,323.048,2022.7876578674316,,82.37,,3.698920965194702,,,,,,32.93571472167969,392.947,12941.990292739869,,60.9,,14.78114891052246,581.61,8596.864017848968,,70.32,,2.761054039001465,158.302,437.08037648200985,,,,,,,6.514310836791992,153.342,998.9174523353578,7.002766132354736,37.369,261.6863675999641,,,,,,
03/10/2005,,,,,,,6.46470308303833,323.048,2088.4094015693663,,82.37,,4.101205825805664,,,,,,34.825592041015625,392.947,13684.611915740967,,60.9,,16.145282745361328,581.61,9390.257897529602,,70.32,,2.856107234954834,158.302,452.1274875078201,,,,,,,6.938271999359131,153.342,1063.928504925728,8.075372695922852,37.369,301.76860227394104,,,,,,
26/09/2005,,,,,,,6.556112766265869,323.048,2117.9391169166565,,82.37,,4.064633846282959,,,,,,37.74283599853516,392.947,14830.934177116396,,60.9,,17.475202560424805,581.592,10163.438007522584,,70.32,,2.9692652225494385,158.302,470.04062326002116,,,,,,,7.06872034072876,153.342,1083.9317144880297,8.463732719421387,37.369,316.2812279920578,,,,,,
19/09/2005,,,,,,,6.033044338226318,323.048,1948.9629073753358,,82.37,,4.116879463195801,,,,,,37.35827255249024,392.947,14679.821124683383,,60.9,,16.118663787841797,581.592,9374.485909698486,,70.32,,2.896843910217285,158.302,458.57618467521667,,,,,,,6.987189292907715,153.342,1071.4295805530548,8.642498970031738,37.369,322.961544011116,,,,,,
12/09/2005,,,,,,,5.809598445892334,323.048,1876.7791587486267,,82.37,,4.169125080108643,,,,,,35.84746551513672,392.947,14086.154031776428,,60.9,,15.080345153808594,581.592,8770.608098693847,,70.32,,2.8696861267089844,158.302,454.2770532302856,,,,,,,6.807822227478027,153.342,1043.9250760059358,8.35276985168457,37.369,312.1346565876007,,,,,,
05/09/2005,,,,,,,5.687719345092773,323.048,1837.4063589935304,,82.37,,3.918349742889404,,,,,,36.07820510864258,392.947,14176.822462825776,,60.9,,14.98018741607666,581.592,8712.357159690857,,70.32,,2.90136981010437,158.302,459.292643679142,,,,,,,6.742597579956055,153.342,1033.9233981056213,7.613042831420898,37.369,284.49179756736754,,,,,,
29/08/2005,,,,,,,6.093985080718994,323.048,1968.6496923561097,,82.37,,3.730269193649292,,,,,,34.86405944824219,392.947,13699.727568008422,,60.9,,14.848336219787598,581.592,8635.673558738708,,70.32,,2.860633373260498,158.302,452.8439842538833,,,,,,,6.783363342285156,153.342,1040.1745016326904,7.391124725341797,37.369,276.1989398612976,,,,,,
22/08/2005,,,,,,,6.160002708435059,323.048,1989.9765549545289,,82.37,,3.625779390335083,,,,,,33.781768798828125,392.947,13274.444704193116,,60.9,,13.707331657409668,581.592,7972.074433296203,,70.32,,2.801790952682495,158.302,443.52911139154435,,,,,,,6.693678855895996,153.342,1026.422103120804,7.02742338180542,37.369,262.6077843546867,,,,,,
15/08/2005,,,,,,,6.083828926086426,323.048,1965.3687669143676,,82.37,,3.432474374771118,,,,,,31.06780242919922,392.947,12207.999761146546,,60.9,,12.398972511291504,581.592,7211.143220787048,,70.32,,2.693159341812134,158.302,426.33251012754437,,,,,,,6.49800443649292,153.342,996.4169963006974,6.953452110290527,37.369,259.8435519094467,,,,,,
08/08/2005,,,,,,,6.500251293182373,323.048,2099.8931797599794,,82.37,,3.495167732238769,,,,,,32.22150802612305,392.947,12661.344914340973,,60.9,,13.043010711669922,581.592,7585.710685821533,,70.32,,2.8063175678253174,158.302,444.24568362188336,,,,,,,6.815975189208984,153.342,1045.1752674636841,7.30482292175293,37.369,272.9739277629852,,,,,,
01/08/2005,,,,,,,6.551034450531006,323.048,2116.2985771751405,,82.37,,3.6675751209259033,,,,,,30.65576171875,392.947,12046.089600097657,,60.9,,13.197677612304688,581.592,7675.663717895508,,70.32,,2.8696861267089844,158.302,454.2770532302856,,,,,,,7.019801139831543,153.342,1076.4303463840486,7.471261501312256,37.369,279.1935710425377,,,,,,
25/07/2005,,,,,,,6.398683547973633,323.048,2067.0819228057862,,82.37,,3.662351369857788,,,,,,30.93044853210449,392.947,12154.026959344863,,60.9,,11.900733947753906,581.592,6921.3716581420895,,70.32,,2.896843910217285,158.302,458.57618467521667,,,,,,,7.060567378997803,153.342,1082.6815230302811,7.458931922912598,37.369,278.73282702732087,,,,,,
18/07/2005,,,,,,,6.200629234313965,323.048,2003.1008728866577,,82.37,,3.5526371002197266,,,,,,31.20515251159668,392.947,12261.97106397438,,60.9,,11.086812019348145,581.592,6448.001175956726,,70.32,,2.724843263626098,158.302,431.3481383185386,,,,,,,7.060567378997803,153.342,1082.6815230302811,7.156877040863037,37.369,267.44533814001085,,,,,,
11/07/2005,,,,,,,6.424075126647949,323.048,2075.284621513367,,82.37,,3.5578620433807373,,,,,,30.133838653564453,392.947,11841.00149740219,,60.9,,10.711546897888184,581.592,6229.749983436584,,70.32,,2.7067384719848637,158.302,428.48211359214787,,,,,,,7.011650085449219,153.342,1075.180447402954,7.508249282836914,37.369,280.57576745033265,,,,,,
04/07/2005,,,,,,,6.093985080718994,323.048,1968.6496923561097,,82.37,,3.3802289962768555,,,,,,31.04033088684082,392.947,12197.20490099144,,60.9,,10.927069664001465,581.592,6355.09630002594,,70.32,,2.5121071338653564,158.302,397.67158350515365,,,,,,,6.555076122283936,153.342,1005.1684827432634,7.0459184646606445,37.369,263.2989271059036,,,,,,
