Date,PAM,SUPV,TEO,EDN,BBAR,LOMA,YPF,BMA,TS,CEPU,TGS,AGRO,CAAP,GGAL,CRESY,BIOX,VIST
2024-06-17,43.970001220703125,6.579999923706055,6.889999866485596,15.779999732971191,9.390000343322754,6.849999904632568,20.299999237060547,57.5099983215332,30.540000915527344,9.039999961853027,18.440000534057617,9.140000343322754,17.6299991607666,32.060001373291016,7.929999828338623,10.600000381469727,42.65999984741211
2024-06-10,47.279998779296875,7.170000076293945,7.46999979019165,17.079999923706055,10.002077102661133,7.139999866485596,20.8799991607666,61.70800018310547,30.5,9.5,18.920000076293945,9.050000190734863,17.399999618530273,34.471431732177734,7.976999759674072,10.78499984741211,43.61000061035156
2024-06-03,43.45000076293945,6.199999809265137,7.170000076293945,16.350000381469727,9.333999633789062,6.989999771118164,20.020000457763672,55.48567199707031,32.0,8.729999542236328,16.950000762939453,9.010000228881836,17.239999771118164,31.3799991607666,7.976999759674072,10.680000305175781,42.83000183105469
2024-05-27,49.349998474121094,7.239999771118164,8.760000228881836,18.15999984741211,10.775138854980469,7.460000038146973,23.209999084472656,64.44971466064453,32.970001220703125,9.9399995803833,19.639999389648438,9.84000015258789,18.34000015258789,35.52172088623047,9.446447372436523,11.779999732971191,48.45000076293945
2024-05-20,45.720001220703125,6.322853088378906,8.229999542236328,16.06999969482422,9.391263961791992,6.929999828338623,21.010000228881836,56.681522369384766,32.83418655395508,9.479999542236328,17.979999542236328,9.949999809265137,17.899999618530273,32.17267608642578,8.921645164489746,10.949999809265137,44.31999969482422
2024-05-13,47.88999938964844,7.405934810638428,8.970000267028809,18.969999313354492,10.937386512756348,7.449999809265137,23.440000534057617,63.176082611083984,34.29999923706055,10.359999656677246,18.860000610351562,10.319999694824219,18.3799991607666,36.33421325683594,9.58957576751709,11.510000228881836,47.4900016784668
2024-05-06,47.09000015258789,6.927817344665527,9.470000267028809,20.18000030517578,10.402923583984375,7.679999828338623,22.780000686645508,60.66770553588867,33.34233474731445,10.319999694824219,18.670000076293945,11.079999923706055,17.889999389648438,34.649784088134766,9.751787185668945,12.90999984741211,45.349998474121094
2024-04-29,48.7400016784668,6.703395366668701,8.579999923706055,18.68000030517578,10.011621475219727,7.420000076293945,23.3799991607666,58.54822540283203,33.02962875366211,10.880000114440918,19.200000762939453,11.109999656677246,17.31999969482422,34.005733489990234,9.322403907775879,12.140000343322754,43.20000076293945
2024-04-22,44.040000915527344,5.883766174316406,7.989999771118164,16.639999389648438,8.828169822692871,7.190000057220459,21.170000076293945,49.95363235473633,33.8211669921875,10.079999923706055,16.809999465942383,11.050000190734863,16.799999237060547,30.418882369995117,8.80714225769043,12.050000190734863,43.040000915527344
2024-04-15,43.08000183105469,5.366619110107422,7.179999828338623,16.139999389648438,8.179179191589355,6.900000095367432,19.34000015258789,48.43693923950195,37.03618240356445,9.130000114440918,15.949999809265137,11.020000457763672,16.3799991607666,28.199392318725586,8.74989128112793,12.119999885559082,41.93000030517578
2024-04-08,45.18000030517578,5.6886162757873535,7.539999961853027,17.510000228881836,8.293706893920898,7.260000228881836,21.170000076293945,50.031410217285156,37.65182113647461,10.229999542236328,16.899999618530273,11.100000381469727,16.829999923706055,29.338863372802734,8.921645164489746,12.5,43.2400016784668
2024-04-01,46.599998474121094,5.805706024169922,8.0,19.299999237060547,8.75181770324707,6.820000171661377,21.040000915527344,49.70084762573242,39.029685974121094,10.449999809265137,18.549999237060547,11.029999732971191,17.40999984741211,27.119375228881836,9.160191535949707,12.649999618530273,42.459999084472656
2024-03-25,43.13999938964844,5.571526527404785,7.949999809265137,17.690000534057617,8.093283653259277,6.679999828338623,19.799999237060547,46.84246826171875,38.37495803833008,9.15999984741211,15.100000381469727,11.020000457763672,16.799999237060547,25.187231063842773,8.520886421203613,12.65999984741211,41.380001068115234
2024-03-18,43.68000030517578,5.756918907165527,7.949999809265137,18.5,8.083740234375,7.130000114440918,20.260000228881836,50.30363845825195,38.56062698364258,9.619999885559082,14.800000190734863,10.649999618530273,16.149999618530273,25.8411865234375,8.387300491333008,12.600000381469727,43.459999084472656
2024-03-11,39.63999938964844,5.161712169647217,7.619999885559082,15.15999984741211,7.482470512390137,6.940000057220459,18.059999465942383,42.292388916015625,37.72999954223633,7.900000095367432,12.8100004196167,10.029999732971191,14.779999732971191,23.6216983795166,7.614409446716309,12.789999961853027,40.75
2024-03-04,39.61000061035156,4.468930244445801,6.800000190734863,16.190000534057617,6.928627967834473,6.670000076293945,17.649999618530273,38.79233169555664,36.89937210083008,7.880000114440918,12.119999885559082,10.109999656677246,14.350000381469727,22.38314437866211,7.643034934997559,13.239999771118164,36.59000015258789
2024-02-26,42.689998626708984,4.205477714538574,7.329999923706055,17.440000534057617,5.979115009307861,6.809999942779541,17.829999923706055,38.325653076171875,34.739742279052734,8.130000114440918,13.350000381469727,10.079999923706055,14.680000305175781,22.085891723632812,7.490365028381348,13.359999656677246,37.529998779296875
2024-02-19,44.540000915527344,4.2640228271484375,7.829999923706055,18.969999313354492,5.819295406341553,6.699999809265137,18.040000915527344,35.224212646484375,34.84723663330078,8.479999542236328,14.390000343322754,9.949999809265137,14.779999732971191,21.758913040161133,7.833872318267822,13.100000381469727,35.689998626708984
2024-02-12,42.34000015258789,4.146933078765869,7.730000019073486,18.6299991607666,5.405645847320557,6.360000133514404,16.850000381469727,30.73246955871582,31.651765823364258,8.319999694824219,13.479999542236328,9.920000076293945,14.899999618530273,20.371732711791992,8.00562572479248,13.180000305175781,33.61000061035156
